cik,company_name,filing_type,filing_date,filing_link
1776909,CuriosityStream Inc.,10-Q,2024-11-07,https://www.sec.gov/Archives/edgar/data/000162828024046268/curi-20240930.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2024-10-09,https://www.sec.gov/Archives/edgar/data/000149315224040488/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2024-08-14,https://www.sec.gov/Archives/edgar/data/000162828024037192/curi-20240630.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2024-07-03,https://www.sec.gov/Archives/edgar/data/000149315224026245/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2024-05-08,https://www.sec.gov/Archives/edgar/data/000162828024021589/curi-20240331.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2024-04-15,https://www.sec.gov/Archives/edgar/data/000149315224014620/form10-q.htm
1776909,CuriosityStream Inc.,10-K,2024-03-25,https://www.sec.gov/Archives/edgar/data/000162828024012902/curi-20231231.htm
1900679,Technology & Telecommunication Acquisition Corp,10-K,2024-03-04,https://www.sec.gov/Archives/edgar/data/000149315224008715/form10-k.htm
1841800,"Nogin, Inc.",10-Q,2023-11-22,https://www.sec.gov/Archives/edgar/data/000121390023089471/f10q0923_nogininc.htm
1776909,CuriosityStream Inc.,10-Q,2023-11-13,https://www.sec.gov/Archives/edgar/data/000162828023038664/curi-20230930.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2023-10-03,https://www.sec.gov/Archives/edgar/data/000149315223035274/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2023-08-14,https://www.sec.gov/Archives/edgar/data/000119312523212485/d528993d10q.htm
1841800,"Nogin, Inc.",10-Q,2023-08-14,https://www.sec.gov/Archives/edgar/data/000095017023042370/nogn-20230630.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2023-07-21,https://www.sec.gov/Archives/edgar/data/000149315223025160/form10-q.htm
1841800,"Nogin, Inc.",10-Q,2023-05-15,https://www.sec.gov/Archives/edgar/data/000095017023021940/nogn-20230331.htm
1776909,CuriosityStream Inc.,10-Q,2023-05-11,https://www.sec.gov/Archives/edgar/data/000119312523142152/d502329d10q.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2023-04-14,https://www.sec.gov/Archives/edgar/data/000149315223012364/form10-q.htm
1776909,CuriosityStream Inc.,10-K,2023-03-31,https://www.sec.gov/Archives/edgar/data/000119312523086553/d384925d10k.htm
1841800,"Nogin, Inc.",10-K,2023-03-23,https://www.sec.gov/Archives/edgar/data/000095017023009502/nogn-20221231.htm
1900679,Technology & Telecommunication Acquisition Corp,10-K,2023-03-01,https://www.sec.gov/Archives/edgar/data/000149315223006314/form10-k.htm
919175,"Sugarmade, Inc.",10-Q,2023-02-21,https://www.sec.gov/Archives/edgar/data/000149315223005697/form10-q.htm
919175,"Sugarmade, Inc.",10-Q,2023-01-26,https://www.sec.gov/Archives/edgar/data/000149315223002544/form10-q.htm
919175,"Sugarmade, Inc.",10-K,2023-01-13,https://www.sec.gov/Archives/edgar/data/000149315223001479/form10-k.htm
1841800,"Nogin, Inc.",10-Q,2022-11-14,https://www.sec.gov/Archives/edgar/data/000095017022024994/nogn-20220930.htm
1776909,CuriosityStream Inc.,10-Q,2022-11-10,https://www.sec.gov/Archives/edgar/data/000119312522282598/d339003d10q.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2022-09-29,https://www.sec.gov/Archives/edgar/data/000149315222027093/form10-q.htm
1841800,"Nogin, Inc.",10-Q,2022-08-15,https://www.sec.gov/Archives/edgar/data/000119312522220199/d373257d10q.htm
1776909,CuriosityStream Inc.,10-Q,2022-08-15,https://www.sec.gov/Archives/edgar/data/000121390022048112/f10q0622_curiositystream.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2022-06-24,https://www.sec.gov/Archives/edgar/data/000149315222017714/form10-q.htm
919175,"Sugarmade, Inc.",10-Q,2022-05-23,https://www.sec.gov/Archives/edgar/data/000149315222014752/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2022-05-16,https://www.sec.gov/Archives/edgar/data/000121390022027215/f10q0322_curiositystream.htm
1841800,"Nogin, Inc.",10-Q,2022-05-16,https://www.sec.gov/Archives/edgar/data/000119312522151653/d269092d10q.htm
1900679,Technology & Telecommunication Acquisition Corp,10-Q,2022-04-15,https://www.sec.gov/Archives/edgar/data/000149315222010009/form10-q.htm
1776909,CuriosityStream Inc.,10-K,2022-03-31,https://www.sec.gov/Archives/edgar/data/000121390022016637/f10k2021_curiositystream.htm
1841800,"Nogin, Inc.",10-K,2022-03-30,https://www.sec.gov/Archives/edgar/data/000119312522088728/d325808d10k.htm
919175,"Sugarmade, Inc.",10-Q,2022-02-22,https://www.sec.gov/Archives/edgar/data/000149315222005104/form10-q.htm
919175,"Sugarmade, Inc.",10-Q,2021-11-22,https://www.sec.gov/Archives/edgar/data/000149315221029493/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2021-11-12,https://www.sec.gov/Archives/edgar/data/000121390021058673/f10q0921_curiositystream.htm
1841800,"Nogin, Inc.",10-Q,2021-11-01,https://www.sec.gov/Archives/edgar/data/000119312521315586/d199192d10q.htm
919175,"Sugarmade, Inc.",10-K,2021-10-13,https://www.sec.gov/Archives/edgar/data/000149315221025284/form10-k.htm
1841800,"Nogin, Inc.",10-Q,2021-09-13,https://www.sec.gov/Archives/edgar/data/000119312521271459/d134869d10q.htm
1776909,CuriosityStream Inc.,10-Q,2021-08-13,https://www.sec.gov/Archives/edgar/data/000121390021042422/f10q0621_curiositystream.htm
1816048,Otonomo Merger US Inc.,10-Q,2021-08-13,https://www.sec.gov/Archives/edgar/data/000121390021042475/f10q0621_softwareacq2.htm
1816048,Otonomo Merger US Inc.,10-Q,2021-05-25,https://www.sec.gov/Archives/edgar/data/000121390021029107/f10q0321_softwareacqu2.htm
919175,"Sugarmade, Inc.",10-Q,2021-05-19,https://www.sec.gov/Archives/edgar/data/000149315221012262/form10-q.htm
1776909,CuriosityStream Inc.,10-Q,2021-05-12,https://www.sec.gov/Archives/edgar/data/000121390021025790/f10q0321_curiositystreaminc.htm
1776909,CuriosityStream Inc.,10-K,2021-03-31,https://www.sec.gov/Archives/edgar/data/000121390021018943/f10k2020_curiositystream.htm
1816048,Otonomo Merger US Inc.,10-K,2021-03-16,https://www.sec.gov/Archives/edgar/data/000121390021015701/f10k2020_softwareacq2.htm
919175,"Sugarmade, Inc.",10-Q,2021-02-22,https://www.sec.gov/Archives/edgar/data/000149315221004514/form10-q.htm
919175,"Sugarmade, Inc.",10-Q,2020-11-23,https://www.sec.gov/Archives/edgar/data/000152013820000581/sgmd-20200930_10q.htm
1776909,CuriosityStream Inc.,10-Q,2020-11-16,https://www.sec.gov/Archives/edgar/data/000121390020037069/f10q0920_curiositystreaminc.htm
1816048,Otonomo Merger US Inc.,10-Q,2020-11-13,https://www.sec.gov/Archives/edgar/data/000121390020036948/f10q0920_softwareacqu2.htm
919175,"Sugarmade, Inc.",10-K,2020-10-16,https://www.sec.gov/Archives/edgar/data/000152013820000490/sgmd-20200630_10k.htm
1776909,CuriosityStream Inc.,10-Q,2020-08-14,https://www.sec.gov/Archives/edgar/data/000121390020022243/f10q0620_softwareacq.htm
919175,"Sugarmade, Inc.",10-Q,2020-05-20,https://www.sec.gov/Archives/edgar/data/000152013820000229/sgmd-20200331_10q.htm
1776909,CuriosityStream Inc.,10-Q,2020-05-15,https://www.sec.gov/Archives/edgar/data/000121390020012585/f10q0320_softwareacq.htm
1776909,CuriosityStream Inc.,10-K,2020-03-20,https://www.sec.gov/Archives/edgar/data/000121390020007027/f10k2019_softwareacquisition.htm
919175,"Sugarmade, Inc.",10-Q,2020-02-19,https://www.sec.gov/Archives/edgar/data/000152013820000068/sgmd-20191231_10q.htm
